Index,Grain,0ppb,10000ppb,20000ppb,30000ppb,40000ppb,50000ppb
2DBA,1000,0.981,1.004,1.028,1.053,1.078,1.103
2DBA,5000,0.961,0.986,1.011,1.036,1.061,1.087
2DBA,10000,0.952,0.977,1.002,1.027,1.052,1.08
2DBA,15000,0.946,0.971,0.996,1.021,1.047,1.072
2DBA,20000,0.941,0.966,0.991,1.016,1.041,1.068
3DBA,1000,0.02,-0.004,-0.026,-0.045,-0.062,-0.076
3DBA,5000,0.043,0.015,-0.01,-0.032,-0.051,-0.067
3DBA,10000,0.055,0.025,-0.0019,-0.025,-0.045,-0.062
3DBA,15000,0.064,0.032,0.004,-0.019,-0.041,-0.059
3DBA,20000,0.071,0.038,0.009,-0.0155,-0.0369,-0.056
NCDI,1000,0.007,-0.004,-0.015,-0.024,-0.033,-0.041
NCDI,5000,0.015,0.004,-0.007,-0.016,-0.024,-0.032
NCDI,10000,0.017,0.007,-0.002,-0.011,-0.019,-0.026
NCDI,15000,0.018,0.008,-0.004,-0.009,-0.016,-0.023
NCDI,20000,0.019,0.009,-0.0002,-0.0066,-0.0137,-0.019
MCI,1000,-0.009,0.0021,0.014,0.026,0.037,0.049
MCI,5000,-0.019,-0.007,0.005,0.018,0.029,0.041
MCI,10000,-0.025,-0.012,0.001,0.013,0.026,0.038
MCI,15000,-0.028,-0.015,-0.002,0.01,0.023,0.035
MCI,20000,-0.03,-0.017,-0.0045,0.0081,0.0204,0.033
II,1000,0.154,0.675,1.183,1.683,2.715,2.66
II,5000,0.223,0.462,0.696,0.925,1.152,1.37
II,10000,0.273,0.444,0.611,0.775,0.937,1.098
II,15000,0.303,0.444,0.581,0.717,0.85,0.9819
II,20000,0.323,0.446,0.566,0.684,0.8,0.915
