Date,AlgaeMeanCC,AlgaeMeanCI,AlgaeMeanHA,AlgaeMeanLA,AlgaeMeanNONE,AlgaeMeanSN,AlgaeMeanWAT,AlgaeSTDCC,AlgaeSTDCI,AlgaeSTDHA,AlgaeSTDLA,AlgaeSTDNONE,AlgaeSTDSN,AlgaeSTDWAT,ClassCountCC,ClassCountCI,ClassCountHA,ClassCountLA,ClassCountNONE,ClassCountSN,ClassCountWAT,DensityMeanCC,DensityMeanCI,DensityMeanHA,DensityMeanLA,DensityMeanNONE,DensityMeanSN,DensityMeanWAT,DensitySTDCC,DensitySTDCI,DensitySTDHA,DensitySTDLA,DensitySTDNONE,DensitySTDSN,DensitySTDWAT,DustMeanCC,DustMeanCI,DustMeanHA,DustMeanLA,DustMeanNONE,DustMeanSN,DustMeanWAT,DustSTDCC,DustSTDCI,DustSTDHA,DustSTDLA,DustSTDNONE,DustSTDSN,DustSTDWAT,GrainMeanCC,GrainMeanCI,GrainMeanHA,GrainMeanLA,GrainMeanNONE,GrainMeanSN,GrainMeanWAT,GrainSTDCC,GrainSTDCI,GrainSTDHA,GrainSTDLA,GrainSTDNONE,GrainSTDSN,GrainSTDWAT
20170601,4226.874515509021,3344.3792580197423,180119.1109843804,54787.57634792709,,7127.418720621891,59.738741580539205,35305.06598278316,19126.00139936911,124872.29162979234,106641.67754568649,,19101.643960868714,4233.8701220996945,67265.0,4168898.0,36072.0,126933.0,0.0,14463210.0,230970.0,361.5368637903389,610.5296863994819,386.5934005005861,386.6413214620536,,485.48874222448364,14.202314462608024,112.96015069647682,277.46473295986897,75.1553067169182,237.39864601657524,,319.44780763261014,31.37420082120091,19851.990527869515,28193.203952562173,19673.034882615717,14240.670274869419,,11563.24892112965,1393.164851341238,16899.448545944546,40403.83959882342,23584.65163549896,37688.24362242284,,35919.354969219625,9732.227319741974,16132.21607501248,19742.118132897464,15445.691949434462,15298.806907130986,,19918.541100389943,27167.641808769244,3355.9407928760716,6456.999475063863,2308.5907832368866,2161.5637498450096,,8477.202355249641,1232.2008735909544
20170604,2386.148606030013,414.50856435606147,72439.0243902437,21853.742643184767,,3.357038487648153,1263.4408602150436,22201.936654855606,4597.288728279025,80940.29815971095,54658.09984182258,,141.54626190957973,8470.301712427236,15854.0,4817311.0,73021.0,133493.0,0.0,15850280.0,62.0,400.0,795.6810760193806,400.2574601826872,534.4479985217702,,800.4631211562178,394.0860215053764,0.0,76.10844704143888,9.469930646332523,179.49816083069126,,12.662243867250323,19.421926739987462,11037.17253269417,23709.593381037685,11006.034793643823,15353.289435900451,,3809.7195549016583,5322.580645161254,10904.382638184916,30673.087908817208,14049.376089483338,10941.4973501892,,15638.861736637831,8114.5401912798925,15000.0,5323.052286500359,15013.544048972211,15231.869835871543,,3055.300263885971,15322.58064516129,0.0,3609.6638241297355,149.66330039405022,1754.6839683844012,,708.2749560904957,985.5001494528633
20170607,2422.51514071964,151.39960088635917,80881.46596124263,10233.281948211608,,3.0992088566246463,191964.28571428588,20724.925438818616,1377.564482045386,80240.66408845043,21349.85021862648,,56.18032463910818,49912.23164062041,1604.0,3363811.0,32591.0,73210.0,0.0,14923970.0,6.0,400.0,784.6843484539244,400.4435931041436,492.2220812925635,,798.7946519209427,400.0,0.0,62.67892996423701,7.601664445593926,107.37611379506296,,17.486533986284936,0.0,18762.46882793017,26586.98656290227,21930.188877735745,47341.27363552989,,3233.6922222629655,42857.142857142906,4758.375633074408,34782.763329549256,10692.53412789991,28487.79085263492,,14763.621252709616,15152.288168283181,15000.0,4784.265185274341,14960.32647049799,12442.256132066266,,3086.004336839132,15000.0,0.0,2602.702108404874,364.1713229198433,2424.326132844401,,626.0868716563543,0.0
20170610,4079.0879942999695,270.4827521947156,88508.04560417648,11987.999297519858,,11.403802071432764,230357.14285714296,26408.18603282602,1825.415111321528,94599.62676721539,25235.118241740533,,141.04015164814254,59894.677968744385,1604.0,3363811.0,32591.0,73210.0,0.0,14923970.0,6.0,400.0,790.0249364273355,400.27395819178827,492.68425468807925,,799.6572082170012,400.0,0.0,74.635366832304,9.506740475090798,131.08869935550226,,23.10570595258193,0.0,19220.69825436409,31382.96499331942,22844.584613631283,51201.143481569656,,4468.550737026216,51428.571428571464,5922.053116629959,38600.10185581545,13418.509246270825,34677.0652004743,,18013.99770700777,18182.7458019398,15000.0,4906.335658318151,14958.117271639409,12295.373387710502,,3085.3882713513867,15000.0,0.0,2991.9373110808806,443.54250748210836,2948.0814979759193,,775.9970141916397,0.0
20170613,5735.660847880299,399.34838788505067,102209.50569175539,14996.107089195466,,19.708395286240858,268750.0,33192.853692986064,2482.698067866941,106481.94663075462,30508.389572695596,,236.16909282851051,69877.12429686842,1604.0,3363811.0,32591.0,73210.0,0.0,14923970.0,6.0,400.0,795.3655244007466,400.1043232794329,493.1464280835952,,800.5197645130618,400.0,0.0,89.73982724876329,11.769634449585064,157.39928582037692,,29.97101438608605,0.0,19697.630922693268,36853.937394223394,24105.96483691817,57268.849883895644,,5703.930656521021,60000.0,7232.483827679623,43119.92047289075,15993.104644367237,38934.88817464324,,21577.91576593402,21213.203435596424,15000.0,5055.036385813591,14955.908072780827,12148.490643354731,,3098.3521810885436,15000.0,0.0,3384.3355826506427,528.2408369104173,3518.8998522467114,,903.4017155548556,0.0
20170616,7392.2337014606455,531.3274140550702,118159.96528401802,18424.82486779715,,28.012988501048962,307142.85714285745,40529.523494157824,3223.6934826496085,118430.87344968875,36693.69454462764,,332.87651909993235,79859.57062499263,1604.0,3363811.0,32591.0,73210.0,0.0,14923970.0,6.0,400.0,800.7061123741579,399.93468836707774,493.60860147911103,,801.3823208091225,400.0,0.0,106.66322749100347,14.220543034349832,185.20392557360256,,37.4024469539746,0.0,20197.71998574991,42529.03413929706,25601.546439201007,63750.785411829005,,6939.41644596866,68571.42857142862,8609.476053168984,48332.550093052756,18565.042180919132,43627.514195130105,,25323.37697162966,24243.661069253096,15000.0,5222.165700918225,14953.698873922249,12001.607898998967,,3114.933914080127,15000.0,0.0,3787.1020870045054,616.0730719209316,4117.252986239031,,1046.4131539948767,0.0
20170619,9113.559922110117,663.3807606907767,135294.6694310875,22038.70023419203,,36.317581715857074,345535.7142857145,48025.780815846185,4002.3675735673323,130711.5123259849,43426.450256924814,,430.09898169940976,89842.01695311662,1614.0,3363811.0,32591.0,73200.0,0.0,14923970.0,6.0,398.5616923349266,806.046700347569,399.76505345472236,494.11533957845427,,802.2448771051813,400.0,18.57901601038229,124.66699841847358,16.77726919988885,213.90077439277863,,45.121144178853775,0.0,20832.890777128698,48340.33502901494,27840.891657205982,70872.37021857924,,8175.044288770731,77142.85714285717,10099.279881243974,54034.36004204535,20407.97127138564,48141.29716080072,,29180.535538594715,27274.118702909705,15031.642768631616,5426.606692740552,14951.489675063667,11853.796838407496,,3139.1469944946643,15000.0,440.44541100183085,4170.595658879392,705.8703141812558,4731.472500285035,,1188.7669824786446,0.0
20170622,271.2707182320442,455.0552769060541,59194.26172953082,21267.539540330432,,13.699755304877408,3102.127659574468,5748.63933347537,2463.111086051844,82386.54997647523,35828.51075683468,,175.26748834980378,6933.71317922714,1448.0,5407231.0,17392.0,70877.0,0.0,12990451.0,47.0,400.0,766.9681920376622,411.1729530818767,504.2842106748312,,802.1441749789903,475.8297872340426,0.0,89.11805129790098,34.12613224962457,131.23607652598588,,18.944458925382676,111.20372700568414,17710.773480662985,24925.204231148993,29196.469641214357,41739.92409385273,,2594.771097631637,51242.553191489365,8158.234490958351,34031.89112950089,18030.818040790597,35392.33737287459,,6601.5453017617665,21796.503181199085,15000.0,3551.421524251507,14847.930082796687,12940.292619608615,,2831.985860998975,14218.72340425532,0.0,2047.878122584942,711.2472962076795,2438.9546427309915,,352.5495557914332,1976.4373891631449
20170625,439.9171270718232,513.6224067364609,64005.11729530818,22674.323123157017,,28.59369547677752,3446.808510638298,6632.873346665914,2711.9645783061164,88692.4407283425,39444.642725362995,,267.5650370558462,7704.125754696823,1448.0,5407231.0,17392.0,70877.0,0.0,12990451.0,47.0,400.0,772.0527123771852,412.13201471941125,504.01653568858734,,807.0813245821872,484.25531914893617,0.0,98.91023583794235,37.91736834675964,145.63797747722685,,26.9442231196749,123.55969667298241,18938.53591160221,28516.674246023522,30208.314167433306,42875.85535505172,,5784.1163482314805,56936.17021276597,8986.620260854397,34754.42793137048,20427.13208609677,36676.01004416509,,9427.966335619865,24218.33686799898,15000.0,3033.3515250226965,14845.96366145354,13054.260197243113,,2563.931952785935,14131.914893617019,0.0,2310.688477782712,799.1923479257655,2726.948727690489,,661.1974313130675,2196.041543514605
20170628,608.5635359116022,572.93054430262,68927.0584176633,24229.40305035484,,43.48763564867763,3791.4893617021285,7658.190547835543,2980.4792516026173,95282.0900177238,43076.65255631554,,378.6116103149412,8474.538330166504,1448.0,5407231.0,17392.0,70877.0,0.0,12990451.0,47.0,400.0,777.1372327167086,413.09107635694573,503.7488607023435,,812.0184741853842,492.6808510638298,0.0,110.01876028812448,41.78890728715599,160.96641039291046,,36.72490216858104,135.91566634028064,20166.298342541435,32474.62410982627,31405.462281508735,45136.7100752007,,8974.362383569285,62629.787234042546,9836.962210166888,35902.61206543423,22696.842322143213,37681.20481484891,,13007.52538340302,26640.170554798882,15000.0,2608.816586530148,14843.997240110395,13168.227774877605,,2334.3710822665053,14045.106382978724,0.0,2529.4600337705483,891.8668759245452,3033.5043254178822,,907.5878496546518,2415.645697866066
