Time,Filename (root\...),Comments,Surf Type,Grain Size (mm),Density,Grain Size,Algae,cells/mL(measured),g/ice,ng/algae,ppb_calc_frm_cllspermL,RTM_Prediction(cells/mL),,2DBA_index_S2CentreWL,2DBA(centreWL)_prediction(cells/mL),2DBA_Ideal_index,2DBA_ideal_prediction(cells/mL),S2_2DBA_index,S2_2DBA_prediction,2DBA_ideal_error,2DBA_S2Centre_Error,2DBA_S2_Error,RTM Error
1101,22_7_SB2,"REFROZEN WEATHERING CRUST, CORAL",LA,1,450,15000,100000,15313,0.45,5665.81,113316.2,11601.1972435555,,0.999,5648.19519088658,1.00016332349982,6257.16034834635,0.941357738419648,35.3012510385946,9055.83965165365,9664.80480911341,15277.6987489614,3711.8027564445
1111,22_7_SB3,"REFROZEN WEATHERED, V THIN ALGAE",CI,2,450,15000,75000,6688,0.45,2474.56,49491.2,8700.89793266665,,0.997728028739568,5049.96556216541,0.998224948263366,5275.73920582169,0.922355316390684,6.61956686770292,1412.26079417831,1638.03443783444,6681.3804331323,2012.89793266665
1121,22_7_SB4,<1CM THICK WEATHERING CRUST,HA,1,500,15000,250000,57083,0.5,21120.71,422414.2,29002.9931088888,,0.999216423664904,5756.81736343516,0.999484502877878,5894.26560605062,1.01081507405262,15977.5120595021,51188.7343939494,51326.1826365651,41105.4879404979,28080.0068911112
1157,22_7_S2,THICK REFROZEN WEATHERED CRUST,CI,,400,15000,50000,1313,0.4,485.81,9716.2,5800.59862177777,,1.0003,6332.88573278043,0.999507600199991,5906.26037902674,0.89747044338452,0.73883724284148,4593.26037902674,5019.88573278043,1312.26116275716,4487.59862177777
1037,14_7_S3,"SOME IMPURITIES, COARSE SNOW",LA,3-5,500,15000,50000,,0.5,0,0,5800.59862177777,,0.99927795185688,5788.0776889793,1.00014829478945,6248.88916354631,0.961263172577635,203.754277421623,,,,
1055,14_7_S4,WEASTHERED GRANULAR,SNOW,3-5,750,5000,20000,,0.75,0,0,2320.23944871111,,0.999262334554645,5780.12704668684,0.999573778369387,5940.76297172098,0.876909204190474,0.12063442578748,,,,
1152,14_7_SB2,"SOME V LIGHT ALGAE, WEATHERED, NO CHOLES",LA,2-3,400,15000,75000,3063,0.4,1133.31,22666.2,8700.89793266665,,0.998803629079593,5551.41170368124,0.999511323964617,5908.19646704733,0.904386480269312,1.35906631556922,2845.19646704733,2488.4117036814,3061.64093368443,5637.89793266665
1302,14_7_SB7,"ALGAL BLOOM 25CM ACROSS, WEATHERED",HA,2,400,15000,150000,12438,0.4,4602.06,92041.2,17401.7958653333,,1.00112869911369,6812.05185592986,1.00157970613627,7087.89322063715,0.983472959144656,1439.91770571626,5350.10677936285,5625.94814406798,10998.0822942837,4963.7958653333
1134,15_7_S2,WEATHERED CORAL ICE,LA,1-2,450,15000,100000,,0.45,0,0,11601.1972435555,,0.999930747488734,6130.37729530327,0.999564856558898,5936.09977718826,0.857043747864429,0.0209315486082497,,,,
1333,15_7_SB2,"ICE IMMED ADJ TO WATER, HEAVILY WEATHERED, VERY POROUS, WATERLOGGED",LA,,500,15000,75000,7250,0.5,2682.5,53650,8700.89793266665,,0.999337107150623,5818.29245027645,0.998601044314339,5453.30308153216,0.87635880093053,0.114920834809727,1796.69691846784,1431.70754972372,7249.88507916519,1450.89793266665
1117,21_7_SB2,"ALGAE ON WEATHERED POROUS ICE, 1-2MM GRAINS,",HA,1-2,550,15000,250000,44861,0.55,16598.57,331971.4,29002.9931088888,,0.999667713536561,5990.08325435459,1.00056323342094,6481.32127607169,1.030987389003,94276.8990306856,38379.6787239283,38870.9167456457,49415.8990306856,15858.0068911112
1244,21_7_SB7_ALUP1_A0_Z0,WATERLOGGED,HA,,850,15000,200000,33229,0.85,12294.73,245894.6,23202.3944871111,,0.999394804902704,5847.91466122565,0.999705243803395,6009.90264227361,0.983361667615262,1425.8794233404,27219.0973577264,27381.0853387742,31803.1205766596,10026.6055128889
1305,21_7_SB9_ALUP1_A0_Z0,LIGHT ALGAE ON BRIGHT 3MM GRAIN CRYSTALLINE REFROZEN SNOW,CI,3,750,8000,20000,313,0.75,115.81,2316.2,2320.23944871111,,0.998352729027748,5335.40953886072,0.998694930450281,5498.55324051786,0.920832637762035,5.78855004299221,5185.55324051786,5022.40953886087,307.211449957008,2007.23944871111
