date,area1,area2,area3,area4,area5,area6,,date,area1SN,area2SN,area3SN,area4SN,area5SN,area6SN
2018-06-10,1356.10164969025,1223.68268405299,1613.62212580338,1723.85380171234,1312.84078516903,1312.84078516903,,2018-06-10,8.7132,11.6796,7.0716,1.5168,9.5336,9.7908
2018-06-13,1209.01006983921,966.938038005522,1383.6102635792,1496.46308499037,1180.97795192464,1180.97795192464,,2018-06-13,9.8872,12.0584,7.2532,1.5956,9.6704,10.4156
2018-06-16,1522.69194180839,825.007540778208,1260.64844891993,1368.409069816,1219.42504466461,1219.42504466461,,2018-06-16,9.8872,12.0584,7.2532,1.5956,9.6704,10.4156
2018-06-19,3008.70920333524,1958.06325394599,2255.50476809207,2410.98546369985,2089.07056480956,2089.07056480956,,2018-06-19,6.0572,6.5448,4.408,0.9896,2.2436,4.6796
2018-06-22,2996.2541316082,1801.794072421,2069.86873772646,2291.55047891851,1986.1943116166,1986.1943116166,,2018-06-22,6.0572,6.5448,4.408,0.9896,2.2436,4.6796
2018-06-25,3027.5954251206,1687.39123877584,1926.45895601881,2194.83090200363,1891.90979963678,1891.90979963678,,2018-06-25,6.0572,6.5448,4.408,0.9896,2.2436,4.6796
2018-06-28,3108.19487480199,1633.39109323355,1851.77677609057,2131.1193678824,1829.68255960379,1829.68255960379,,2018-06-28,6.0572,6.5448,4.408,0.9896,2.2436,4.6796
2018-07-01,3249.48045092799,1642.65965884043,1872.07544364033,2119.00943177336,1801.44814581228,1801.44814581228,,2018-07-01,6.0572,6.5448,4.408,0.9896,2.2436,4.6796
2018-07-04,3408.11245356884,1682.99043006693,1939.55407107104,2143.99959712206,1806.98639917821,1806.98639917821,,2018-07-04,6.0572,6.5448,4.408,0.9896,2.2436,4.6796
2018-07-07,3586.10395410988,1751.15089149928,2039.88517978692,2209.05344249708,1850.65699689299,1850.65699689299,,2018-07-07,6.0572,6.5448,4.408,0.9896,2.2436,4.6796
2018-07-10,3303.08127798789,3187.31293069445,3708.59532703775,3410.38075129353,2910.08202046451,2910.08202046451,,2018-07-10,2.4564,3.5124,1.6532,0.168,2.812,1.3732
2018-07-13,4985.73342768974,4669.36297825936,5091.15350704193,4761.89412747396,4158.19102531381,4158.19102531381,,2018-07-13,0.1176,0,0.5552,0.0268,0.1112,0.0028
2018-07-16,9752.07178047442,11207.0198844521,11144.5079932249,6480.38372893416,6051.3956240284,6051.3956240284,,2018-07-16,14.6076,15.9048,15.7496,15.7596,15.852,14.986
2018-07-22,12688.5177150282,14754.9889015213,14662.9759391169,8246.22941754256,7672.16138038779,7672.16138038779,,2018-07-22,14.6076,15.9048,15.7496,15.7596,15.852,14.986
2018-07-25,14172.4363287625,16530.1573122346,16425.6073226757,9130.42839354354,8490.24532665104,8490.24532665104,,2018-07-25,14.6076,15.9048,15.7496,15.7596,15.852,14.986
2018-07-28,15673.6097898637,18305.5616139586,18188.9173762732,10014.896130614,9309.87223214769,9309.87223214769,,2018-07-28,14.6004,15.9048,15.7484,15.7596,15.852,14.986
2018-07-31,1357.05964086264,1147.85792816896,1193.32279706651,1386.12019375785,1237.9128910719,1237.9128910719,,2018-07-31,14.6076,15.9048,15.7496,15.7596,15.8524,14.986
2018-08-03,1110.87955815502,849.854181874644,934.577725344331,687.15386043224,888.215771559931,888.215771559931,,2018-08-03,14.6076,15.9048,15.7496,15.7596,15.8524,14.986
2018-08-06,2802.60808300032,2521.19561046392,2476.38487061095,1397.58128423469,2098.05198050285,2098.05198050285,,2018-08-06,14.6076,15.9048,15.7496,15.7596,15.8524,14.986
2018-08-09,4619.23465116985,4321.19208548476,4179.82346547395,2510.31814944841,3585.98896636902,3585.98896636902,,2018-08-09,14.6076,15.9048,15.7496,15.7596,15.8524,14.986
2018-08-12,9725.23434418432,9567.40585628437,9201.19956379499,6854.10624376436,8352.23555070883,8352.23555070883,,2018-08-12,0.0024,0.0032,0.0484,0.0084,0.0072,0
2018-08-15,12229.3436539794,10991.4515749454,11181.0619570225,8038.88141256178,10719.2439831219,10719.2439831219,,2018-08-15,0.0296,0.0032,0.0924,0.01,0.0104,0
2018-08-18,14739.9827805087,12417.5631353727,13170.8011123891,9229.83587620529,13088.7723613077,13088.7723613077,,2018-08-18,0.0296,0.0032,0.0924,0.01,0.0104,0
2018-08-21,5558.82594226581,7195.25312155072,5910.6711955531,4883.5455247553,4408.83737773167,4408.83737773167,,2018-08-21,0.0296,0.0032,0.0924,0.01,0.0104,0
2018-08-24,8058.67098341692,8618.54476239091,7884.98821649822,6065.88195616073,6774.87628151797,6774.87628151797,,2018-08-24,0.0024,0,0.04,0.0032,0.0008,0
2018-08-27,10559.6421693576,10041.9466146049,9860.16124006855,7248.40649269291,9141.05522832814,9141.05522832814,,2018-08-27,0.0024,0,0.04,0.0032,0.0008,0
2018-08-30,13064.4583235276,11466.4381507029,11843.2089905964,8434.99890617283,11508.7497886925,11508.7497886925,,2018-08-30,0.0024,0,0.04,0.0032,0.0008,0
