Year;MonthOfYear;DayOfMonth;HourOfDay(UTC);DayOfYear;DayOfCentury;AirPressure(hPa);AirTemperature(C);AirTemperatureHygroClip(C);RelativeHumidity_wrtWater(%);RelativeHumidity(%);WindSpeed(m/s);WindDirection(d);ShortwaveRadiationDown(W/m2);ShortwaveRadiationDown_Cor(W/m2);ShortwaveRadiationUp(W/m2);ShortwaveRadiationUp_Cor(W/m2);Albedo_theta<70d;LongwaveRadiationDown(W/m2);LongwaveRadiationUp(W/m2);CloudCover;SurfaceTemperature(C);HeightSensorBoom(m);HeightStakes(m);DepthPressureTransducer(m);DepthPressureTransducer_Cor(m);IceTemperature1(C);IceTemperature2(C);IceTemperature3(C);IceTemperature4(C);IceTemperature5(C);IceTemperature6(C);IceTemperature7(C);IceTemperature8(C);TiltToEast(d);TiltToNorth(d);TimeGPS(hhmmssUTC);LatitudeGPS((dd)mm.mmmmm);LongitudeGPS((dd)mm.mmmmm);ElevationGPS(m);HorDilOfPrecGPS;LoggerTemperature(C);FanCurrent(mA);BatteryVoltage(V)
2018;9;7;22;-999;-999;859;-6.52;33.23;-999;76.8;5.85;126.8;2.6;-999;3.2;-999;-999;-59.1;-9.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;7;23;-999;-999;859;-7.62;32.02;-999;76.9;5.53;136.7;-1.3;-999;.4;-999;-999;-55.4;-9.3;-999;-999;2.392;1.076;15.54;-999;-1.96;-2.99;-4.37;-5.68;-6.69;-7.5;-7.96;-8.18;-.36;2.66;-999;-999;-999;-999;-999;-999;135;13.61
2018;9;8;0;-999;-999;859;-8.01;31.64;-999;77.1;5.13;146.1;-.8;-999;.8;-999;-999;-46.8;-8.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;1;-999;-999;859;-6.89;32.56;-999;76.7;4.77;126.9;-.4;-999;.7;-999;-999;-34.3;-8.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;2;-999;-999;858;-6.03;33.62;-999;76.9;4.62;140.8;-.4;-999;.2;-999;-999;-22.4;-6.7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;3;-999;-999;858;-4.14;35.28;-999;77;4.16;123.1;.6;-999;.6;-999;-999;-8.2;-5.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;4;-999;-999;857;-3.65;35.97;-999;78.5;3.94;128.8;-.4;-999;-.3;-999;-999;-11.8;-4.8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;5;-999;-999;857;-3.31;36.23;-999;80.9;2.69;133.7;-.5;-999;.6;-999;-999;-27.8;-6.8;-999;-999;2.369;1.065;15.53;-999;-2;-3;-4.37;-5.67;-6.68;-7.48;-7.95;-8.17;-.3;2.79;-999;-999;-999;-999;-999;-999;131;12.86
2018;9;8;6;-999;-999;857;-2.53;36.94;-999;81;5.49;127.7;-1.1;-999;.4;-999;-999;-46.4;-9.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;7;-999;-999;857;-3.61;36.07;-999;80.4;4.87;144.3;-.2;-999;.7;-999;-999;-31;-7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;8;-999;-999;857;-4.23;35.42;-999;81.9;5.36;137.4;13.7;-999;11.9;-999;-999;-23.8;-5.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;9;-999;-999;857;-3.89;35.78;-999;79.2;4.11;131.8;56.5;-999;47.4;-999;-999;-23.8;-6.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;10;-999;-999;857;-2.7;37.08;-999;73.7;5.16;126.8;109.3;-999;91.6;-999;-999;-24.8;-8.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;11;-999;-999;856;-.92;38.84;-999;69.4;7.76;111.6;189.4;-999;159.6;-999;-999;-23.6;-9.3;-999;-999;2.366;1.062;15.52;-999;-2;-2.99;-4.36;-5.65;-6.68;-7.47;-7.94;-8.17;-.2;2.35;-999;-999;-999;-999;-999;-999;141;13.34
2018;9;8;12;-999;-999;857;.18;40.12;-999;67.2;7.79;105.5;319.1;-999;281.4;-999;-999;-46.9;-12.9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;13;-999;-999;857;.76;40.74;-999;66.8;8.32;101.5;340.7;-999;300.7;-999;-999;-46.8;-13;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;14;-999;-999;856;1.54;41.59;-999;66.7;7.33;106;348.9;-999;297.3;-999;-999;-32.9;-12.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;15;-999;-999;856;1.8;41.87;-999;70.6;7.83;110.2;323.8;-999;277.1;-999;-999;-30.9;-11.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;16;-999;-999;856;1.74;41.76;-999;72.7;6.81;89.9;314.2;-999;264;-999;-999;-41.4;-12;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;17;-999;-999;856;1.13;41.06;-999;72.9;6.12;99.2;204.8;-999;176.6;-999;-999;-65;-12.4;-999;-999;2.353;1.059;15.51;-999;-2.03;-3;-4.37;-5.65;-6.68;-7.47;-7.94;-8.17;-.29;2.85;-999;-999;-999;-999;-999;-999;146;14.52
2018;9;8;18;-999;-999;855;1.28;41.22;-999;73.2;6.92;119.4;211.2;-999;174.1;-999;-999;-35.9;-10;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;19;-999;-999;856;1.05;40.91;-999;74.6;5.93;115;120.2;-999;99.3;-999;-999;-39.4;-9.7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;20;-999;-999;856;-.03;39.73;-999;75.4;6.07;103.1;67.6;-999;56.3;-999;-999;-42.4;-9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;21;-999;-999;856;-.66;39.04;-999;75.3;7.28;119;20.4;-999;17.3;-999;-999;-34.1;-7.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;22;-999;-999;856;-2.06;37.64;-999;75.5;8.75;132.5;.6;-999;1.3;-999;-999;-37;-6.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;23;-999;-999;857;-3.08;36.57;-999;75.2;8.37;131.3;-.8;-999;.2;-999;-999;-35.3;-6.1;-999;-999;2.375;1.068;15.52;-999;-2.06;-3.01;-4.36;-5.65;-6.66;-7.47;-7.94;-8.18;-.47;2.57;-999;-999;-999;-999;-999;-999;138;13.48
2018;9;9;0;-999;-999;857;-3.41;36.22;-999;73.1;8.15;136.3;-.7;-999;.4;-999;-999;-40.1;-7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;1;-999;-999;857;-4.58;35.13;-999;73.9;7.53;135.9;-1.4;-999;.3;-999;-999;-54.2;-8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;2;-999;-999;857;-6.98;32.68;-999;78;5.24;138.4;-1.4;-999;.8;-999;-999;-57.7;-8.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;3;-999;-999;857;-8.09;31.56;-999;78.1;4.76;139.4;-1.4;-999;.8;-999;-999;-58.3;-9.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;4;-999;-999;857;-9.19;30.35;-999;78.8;4.77;139.9;-1.4;-999;.7;-999;-999;-55.8;-8.8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;5;-999;-999;857;-9.54;30.02;-999;79;5.27;130.1;-1.1;-999;.8;-999;-999;-50.5;-8.5;-999;-999;2.404;1.081;15.52;-999;-2.09;-3.03;-4.36;-5.65;-6.65;-7.45;-7.94;-8.17;-.35;3.02;-999;-999;-999;-999;-999;-999;131;12.82
2018;9;9;6;-999;-999;858;-8.42;31.07;-999;79;5.88;134.8;-.2;-999;.2;-999;-999;-15.7;-4.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;7;-999;-999;858;-7.57;32;-999;77;5.96;127.8;.3;-999;.6;-999;-999;-10.8;-3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;8;-999;-999;858;-7.05;32.62;-999;74.2;6.25;131.3;20.3;-999;17.4;-999;-999;-7.5;-3.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;9;-999;-999;858;-6.69;33.06;-999;72.7;7.16;141;54.1;-999;44.8;-999;-999;-27.3;-5.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;10;-999;-999;857;-6.88;33.07;-999;72.2;7.11;139.3;142.2;-999;129.9;-999;-999;-48.5;-9.9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;11;-999;-999;858;-6.67;33.52;-999;71.5;6.61;124.6;271.9;-999;257;-999;-999;-60.5;-12.8;-999;-999;2.392;1.076;15.54;-999;-2.1;-3.02;-4.35;-5.64;-6.64;-7.43;-7.93;-8.16;-.24;3.02;-999;-999;-999;-999;-999;-999;138;13.82
2018;9;9;12;-999;-999;858;-6.08;34.08;-999;72.4;6.46;128.4;299.6;-999;265.7;-999;-999;-41.6;-9.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;13;-999;-999;858;-4.92;35.61;-999;73.9;5.19;136.6;464.3;-999;412.2;-999;-999;-50.4;-11.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;14;-999;-999;858;-3.82;36.61;-999;72.9;5.75;145.4;378.5;-999;321.7;-999;-999;-30.6;-8.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;15;-999;-999;858;-3.89;36.5;-999;73.2;5.59;138.5;353;-999;306.4;-999;-999;-51.6;-8.9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;9;16;-999;-999;858;-4.85;35.42;-999;76.4;4.4;144.3;287.9;-999;249.9;-999;-999;-55.8;-9.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
