Year;MonthOfYear;DayOfMonth;HourOfDay(UTC);DayOfYear;DayOfCentury;AirPressure(hPa);AirTemperature(C);AirTemperatureHygroClip(C);RelativeHumidity_wrtWater(%);RelativeHumidity(%);WindSpeed(m/s);WindDirection(d);ShortwaveRadiationDown(W/m2);ShortwaveRadiationDown_Cor(W/m2);ShortwaveRadiationUp(W/m2);ShortwaveRadiationUp_Cor(W/m2);Albedo_theta<70d;LongwaveRadiationDown(W/m2);LongwaveRadiationUp(W/m2);CloudCover;SurfaceTemperature(C);HeightSensorBoom(m);HeightStakes(m);DepthPressureTransducer(m);DepthPressureTransducer_Cor(m);IceTemperature1(C);IceTemperature2(C);IceTemperature3(C);IceTemperature4(C);IceTemperature5(C);IceTemperature6(C);IceTemperature7(C);IceTemperature8(C);TiltToEast(d);TiltToNorth(d);TimeGPS(hhmmssUTC);LatitudeGPS((dd)mm.mmmmm);LongitudeGPS((dd)mm.mmmmm);ElevationGPS(m);HorDilOfPrecGPS;LoggerTemperature(C);FanCurrent(mA);BatteryVoltage(V)
2018;9;7;22;-999;-999;874;-1.24;-3.06;-999;77.4;4.77;83.1;.8;-999;1.9;-999;-999;-36;-4.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;7;23;-999;-999;874;-1.3;-3.24;-999;79.1;3.24;90.8;-.8;-999;.8;-999;-999;-33.2;-4.9;-999;-999;2.451;1.285;14.97;-999;-.18;-.77;-1.29;-1.97;-2.45;-2.86;-2.94;-2.7;.61;1.31;-999;-999;-999;-999;-999;-999;128;13.34
2018;9;8;0;-999;-999;874;-1.43;-3.34;-999;77.9;3.39;94.6;-.7;-999;.6;-999;-999;-36.6;-7.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;1;-999;-999;873;-2.31;-4.1;-999;79.7;2.88;112.3;-1.3;-999;.7;-999;-999;-56.3;-9.9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;2;-999;-999;873;-4.85;-6.68;-999;82.4;1.26;72.1;-3.1;-999;.8;-999;-999;-82.8;-14.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;3;-999;-999;873;-6.28;-8.22;-999;78.3;4.42;87.6;-1.6;-999;1.2;-999;-999;-84.4;-94.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;4;-999;-999;872;-6.89;-8.81;-999;75;5.74;86.1;-1.5;-999;1;-999;-999;-79.9;-72.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;5;-999;-999;872;-6.56;-8.62;-999;73.6;5.37;98.6;-1;-999;.9;-999;-999;-67.8;-137.2;-999;-999;2.473;1.298;14.95;-999;-.18;-.77;-1.3;-1.98;-2.46;-2.84;-2.94;-2.7;.63;1.25;-999;-999;-999;-999;-999;-999;124;12.74
2018;9;8;6;-999;-999;872;-5.06;-7.03;-999;67.4;5.74;94;-.4;-999;1;-999;-999;-59.2;-313;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;7;-999;-999;872;-4.78;-6.73;-999;69.6;4.12;113.2;-.4;-999;1;-999;-999;-50.2;-9999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;8;-999;-999;871;-4.19;-6.26;-999;69.9;3.73;130.2;15.1;-999;13.9;-999;-999;-61;-15;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;9;-999;-999;871;-4.24;-6.18;-999;72.5;3.69;106.5;79.5;-999;64.7;-999;-999;-49.9;182.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;10;-999;-999;871;-4.15;-5.67;-999;77.1;1.37;111.3;166;-999;134.9;-999;-999;-39.8;-9999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;11;-999;-999;871;-3.17;-4.52;-999;76.9;1.81;71.8;412.5;-999;317.1;-999;-999;-98.8;-62.2;-999;-999;2.461;1.292;14.94;-999;-.17;-.76;-1.29;-1.96;-2.43;-2.84;-2.93;-2.69;.65;1.23;-999;-999;-999;-999;-999;-999;136;13.87
2018;9;8;12;-999;-999;871;-2.66;-3.37;-999;75.8;1.42;157;494.7;-999;380.6;-999;-999;-138.1;-44.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;13;-999;-999;871;-2.45;-2.85;-999;84.8;1.25;210;640.2;-999;502.4;-999;-999;-110.6;-40.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;14;-999;-999;871;-2.47;-2.85;-999;90.8;.65;317.4;593.2;-999;475.4;-999;-999;-108;-43.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;15;-999;-999;871;-2.2;-2.7;-999;90;.71;360;589.9;-999;476.9;-999;-999;-117.7;-41.8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;16;-999;-999;871;-1.69;-2.46;-999;82.8;2.85;127.4;739.1;-999;603.9;-999;-999;-106;-31.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;17;-999;-999;871;-1.33;-2.11;-999;82.1;2.05;134.5;545.8;-999;458.8;-999;-999;-134.5;-44.8;-999;-999;2.452;1.287;14.95;-999;-.17;-.76;-1.27;-1.96;-2.42;-2.83;-2.92;-2.68;.6;1.24;-999;-999;-999;-999;-999;-999;141;14.45
2018;9;8;18;-999;-999;871;-1.01;-1.7;-999;79.6;1;119.1;423.9;-999;370.2;-999;-999;-145.1;-59.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;19;-999;-999;872;-1.61;-2.6;-999;83.1;1.14;94.3;259.2;-999;239.4;-999;-999;-128.4;-45.7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;20;-999;-999;872;-4.13;-5.48;-999;88;1.99;125;77;-999;70.2;-999;-999;-89.1;-15.9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
