Year;MonthOfYear;DayOfMonth;HourOfDay(UTC);DayOfYear;DayOfCentury;AirPressure(hPa);AirTemperature(C);AirTemperatureHygroClip(C);RelativeHumidity_wrtWater(%);RelativeHumidity(%);WindSpeed(m/s);WindDirection(d);ShortwaveRadiationDown(W/m2);ShortwaveRadiationDown_Cor(W/m2);ShortwaveRadiationUp(W/m2);ShortwaveRadiationUp_Cor(W/m2);Albedo_theta<70d;LongwaveRadiationDown(W/m2);LongwaveRadiationUp(W/m2);CloudCover;SurfaceTemperature(C);HeightSensorBoom(m);HeightStakes(m);DepthPressureTransducer(m);DepthPressureTransducer_Cor(m);IceTemperature1(C);IceTemperature2(C);IceTemperature3(C);IceTemperature4(C);IceTemperature5(C);IceTemperature6(C);IceTemperature7(C);IceTemperature8(C);TiltToEast(d);TiltToNorth(d);TimeGPS(hhmmssUTC);LatitudeGPS((dd)mm.mmmmm);LongitudeGPS((dd)mm.mmmmm);ElevationGPS(m);HorDilOfPrecGPS;LoggerTemperature(C);FanCurrent(mA);BatteryVoltage(V)
2018;9;7;22;-999;-999;981;3.16;43.23;-999;78.6;2.54;117.3;8.2;-999;5.3;-999;-999;-22.7;-11.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;7;23;-999;-999;981;3.88;43.68;-999;75;2.97;110.2;.9;-999;1.1;-999;-999;-28.4;-12.2;-999;-999;1.115;2.615;12.82;-999;2.6;2.7;2.68;2.55;2.75;2.82;2.68;2.54;-2.71;1.48;-999;-999;-999;-999;-999;-999;139;13.19
2018;9;8;0;-999;-999;981;3.78;43.71;-999;75.1;1.9;64.6;-.3;-999;.3;-999;-999;-22.9;-11.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;1;-999;-999;981;3.74;43.57;-999;76.1;1.31;57.5;-.2;-999;.1;-999;-999;-16.7;-10.9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;2;-999;-999;981;2.17;42.16;-999;85.7;.81;166.3;-.7;-999;.3;-999;-999;-23.1;-6.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;3;-999;-999;981;1.35;41.25;-999;92.6;1.35;154.5;-1.4;-999;1.5;-999;-999;-50;-3.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;4;-999;-999;981;2.02;41.82;-999;89.3;.8;94.2;-.2;-999;1.5;-999;-999;-33.4;-4.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;5;-999;-999;981;.88;40.8;-999;96.2;1.5;38.8;-1.8;-999;1.5;-999;-999;-59.3;-3.6;-999;-999;1.123;2.628;12.82;-999;-.67;-.51;-.47;-.4;-.39;-.38;-.43;-.58;-2.76;1.42;-999;-999;-999;-999;-999;-999;130;12.77
2018;9;8;6;-999;-999;981;.82;40.66;-999;98.8;.73;220.9;-1.6;-999;2.3;-999;-999;-54.8;-2.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;7;-999;-999;980;.11;40.07;-999;99.9;1.04;187.9;-.6;-999;1.8;-999;-999;-24.5;-1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;8;-999;-999;980;-.03;39.78;-999;99.9;1.74;157.1;7.4;-999;7.4;-999;-999;-22.7;-1.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;9;-999;-999;980;-.06;40.05;-999;99.9;1.17;182;41.3;-999;30.6;-999;-999;-23.2;-3.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;10;-999;-999;980;-.4;39.31;-999;99.9;1.82;172.2;76.5;-999;48.4;-999;-999;-29.3;-4.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2018;9;8;11;-999;-999;979;-.81;39.13;-999;99.9;1.95;166.8;118.1;-999;69.8;-999;-999;-20.8;-1.9;-999;-999;1.125;2.634;12.8;-999;-.37;-.45;-.47;-.22;-.36;-.38;-.04;-.39;-2.67;1.57;-999;-999;-999;-999;-999;-999;138;13.23
